chr	start	end	strand	pvalue	qvalue	meth.diff
1	186290	186290	*	0.00298006615649228	0.0915386042368988	-19.5949263502455
1	914695	914695	*	0.00346000969774806	0.0979077158431249	35.9247729114248
1	929548	929548	*	0.000361244377710218	0.0330013787774797	24.0469858156028
1	943918	943918	*	3.5093684076597e-05	0.00944808330949745	-13.1578947368421
1	963290	963290	*	0.00125682089414071	0.0620455309871451	37.9851448896328
1	1130964	1130964	*	0.00173185292449633	0.0723600216623843	25.2252252252252
1	1185540	1185540	*	2.19706075731579e-05	0.00724308181359873	20.5862068965517
1	1219814	1219814	*	0.000174381247144302	0.0229565482244415	13.2072017088801
1	1224543	1224543	*	0.00158040470491478	0.069058900982531	50.5792154009738
1	1224575	1224575	*	0.00240509699258307	0.0832806589441871	43.4632034632035
1	1331856	1331856	*	0.00251088988548962	0.0848318883094351	33.9749198016914
1	1331873	1331873	*	0.00105569506235139	0.0567944969156192	35.8510741712841
1	1331906	1331906	*	0.000391429625721249	0.0348128700866802	47.2272453285112
1	1408838	1408838	*	0.00192356366185616	0.0760843843832333	-22.5592962273727
1	1437687	1437687	*	0.000939932236492359	0.0538307249559343	17.6784426820476
1	1567431	1567431	*	0.000964542554892682	0.0545159630650445	11.6698473282443
1	1567447	1567447	*	0.00236253747448332	0.0828288470504234	29.1526374859708
1	1973628	1973628	*	0.000682022946115419	0.0459619425800453	30.5019540791402
1	2054982	2054982	*	0.00347144720083348	0.0981242981225629	10.5756358768407
1	2094168	2094168	*	0.00188759251916674	0.0755129526003248	24.6006144393241
1	2149876	2149876	*	0.000126054479994758	0.0195171116152872	-19.5914224083238
1	2149896	2149896	*	0.00224844673070359	0.0808946524482006	-19.3913480885312
1	2336824	2336824	*	0.000650179854080327	0.0449739396535878	20.960723691744
1	2434920	2434920	*	5.1633590242574e-05	0.0116441168656296	17.7492354740061
1	2434924	2434924	*	0.00223357147331908	0.0807093960130709	18.3119266055046
1	2806781	2806781	*	0.00322984404285867	0.0948043482352058	26.5052573325955
1	2917736	2917736	*	0.00157551580820877	0.0689420725595944	16.6854407209237
1	3000097	3000097	*	0.00112122674255196	0.0585102558999488	27.5975755116533
1	3063726	3063726	*	0.00172560829884786	0.0722975605544227	49.112925936356
1	3063736	3063736	*	0.00331629732210779	0.0962596011018325	47.7215423405695
1	3063752	3063752	*	0.000972175901157106	0.0547281726794754	47.7123178156325
1	3063777	3063777	*	0.000901209993068428	0.0526133662363964	44.1175579457658
1	3063810	3063810	*	0.000611474376321221	0.0435950978531931	46.5838123349386
1	3063816	3063816	*	0.00225463922718465	0.0809996065603765	46.4346745378282
1	3063825	3063825	*	0.000643238751006421	0.0447493429370375	50.4640846907966
1	3130993	3130993	*	0.000761972528617451	0.0486557600832422	37.6043873862645
